Designator,X,Y,Rotation,Value,Package
R_BOOT,19.78,108.36,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,85.94,63.18,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,52.89,108.36,90.00,,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,77.80,23.54,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,60.33,108.30,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,159.16,14.13,90.00,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,71.22,10.78,0.00,,SJ
TP1,11.56,67.40,0.00,TPTP20R,TP20R
TP10,113.09,11.90,0.00,TPTP20R,TP20R
TP11,12.64,40.20,0.00,TPTP20R,TP20R
TP12,117.44,12.10,0.00,TPTP20R,TP20R
TP13,99.89,25.20,0.00,TPTP20R,TP20R
TP14,106.74,44.50,0.00,TPTP20R,TP20R
TP15,94.99,61.30,0.00,TPTP20R,TP20R
TP16,116.84,34.60,0.00,TPTP20R,TP20R
TP17,70.89,22.80,0.00,TPTP20R,TP20R
TP2,15.28,67.60,0.00,TPTP20R,TP20R
TP3,131.40,58.30,0.00,TPTP20R,TP20R
TP4,162.32,44.80,0.00,TPTP20R,TP20R
TP5,71.54,108.40,0.00,TPTP20R,TP20R
TP6,48.86,20.70,0.00,TPTP20R,TP20R
TP7,97.79,12.38,0.00,TPTP20R,TP20R
TP8,103.51,12.38,0.00,TPTP20R,TP20R
TP9,108.63,12.08,0.00,TPTP20R,TP20R
U1,38.10,53.06,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.00,53.35,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,82.85,56.50,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,132.73,53.83,0.00,MAX17048G+T10,SON50P200X200X80-9N
